【台灣即時風景影像】,#genre#
【永安漁港】,https://www.youtube.com/watch?v=tD_a03trUvE&list=ULyssesXHarem
【花蓮海岸-忘憂亭】,https://www.youtube.com/watch?v=Ic6hqus0tjA&list=ULyssesXHarem
【高雄海岸_蚵寮國小】,https://www.youtube.com/watch?v=sKrqs-5Auqo&list=ULyssesXHarem
【烏來老街與覽勝橋】,https://www.youtube.com/watch?v=tx07sS9lCvY&list=ULyssesXHarem
【礁溪寒沐酒店頂樓】,https://www.youtube.com/watch?v=cPh2vzrtG_w&list=ULyssesXHarem
【高雄壽山情人觀景台】,https://www.youtube.com/watch?v=C03Itx8iSC0&list=ULyssesXHarem
【高雄蓮池潭】,https://www.youtube.com/watch?v=BnPoNatG-HE&list=ULyssesXHarem
【高雄旗津海水浴場】,https://www.youtube.com/watch?v=ka7FV0sCvxQ&list=ULyssesXHarem
【淡水漁人碼頭】,https://www.youtube.com/watch?v=xwAWSh35uuw&list=ULyssesXHarem
【台9線-財茂彎】,https://www.youtube.com/watch?v=3JF9plveqE0&list=ULyssesXHarem
【台東多良車站】,https://www.youtube.com/watch?v=UCG1aXVO8H8&list=ULyssesXHarem
【墾丁大街、墾丁大灣、墾丁路】,https://www.youtube.com/watch?v=ue4O7d9qP6I&list=ULyssesXHarem
【三仙台】,https://www.youtube.com/watch?v=dQ7Sd6PGLdA&list=ULyssesXHarem
【綠島柴口浮潛區】,https://www.youtube.com/watch?v=zQQSfAkjCJc&list=ULyssesXHarem
【金崙大橋】,https://www.youtube.com/watch?v=9QqBz3kNHis&list=ULyssesXHarem
【西子灣】,https://www.youtube.com/watch?v=Jsz-d62r-Eg&list=ULyssesXHarem
【富岡漁港】,https://www.youtube.com/watch?v=VG8ASWpuUvE&list=ULyssesXHarem
【加路蘭遊憩區】,https://www.youtube.com/watch?v=AKl3F6cAY2Q&list=ULyssesXHarem
【西子灣2】,https://www.youtube.com/watch?v=BV43sOgquQk&list=ULyssesXHarem
【金門134高地】,https://www.youtube.com/watch?v=-srNHTE-Nf0&list=ULyssesXHarem
【船帆石沙灘】,https://www.youtube.com/watch?v=f8yo_osMxAg&list=ULyssesXHarem
【壽豐花蓮大橋】,https://www.youtube.com/watch?v=BDs9UIRw4zc&list=ULyssesXHarem
【高雄系統 南向 交流道】,https://www.youtube.com/watch?v=J8fsaAXWnwU&list=ULyssesXHarem
【高雄旗津】,https://www.youtube.com/watch?v=qEishQW_Wxc&list=ULyssesXHarem
【前鎮區 草衙道】,https://www.youtube.com/watch?v=l19qCwglItE&list=ULyssesXHarem
【高雄市澄清湖、澄清湖觀夕平台】,https://www.youtube.com/watch?v=uKeDvjvYJdw&list=ULyssesXHarem
【桃園國際機場】,https://www.youtube.com/watch?v=91PfFoqvuUk&list=ULyssesXHarem
【大稻埕碼頭】,https://www.youtube.com/watch?v=Ndo_8RuefH4&list=ULyssesXHarem
【石門水庫】,https://www.youtube.com/watch?v=GUCaVR88ZFU&list=ULyssesXHarem
