💋松视CR(更新日期113.12.25),#genre#

松视1台,http://276868.cloud/33899f168487d4ecf86768be40853b71/a342fa9e5e11747f731a4832e31e0e7d/c5f2d006bb9ccf4951acc5cc4b4b8b39/index.m3u8
松视1台,http://18.svi-studio.com:80/live/652484888807/195449585962/5.m3u8
松视1台,http://18.svi-studio.com:8880/live/584830114073/800309151021/5.m3u8
松视1台,http://18.svi-studio.com:80/live/346356153167/782875691212/5.m3u8
松视1台,http://18.svi-studio.com:80/live/875994180836/930699661147/5.m3u8
松视1台,http://18.svi-studio.com:80/live/917952932058/953281067271/5.m3u8
松视1台,http://18.svi-studio.com:80/live/426804892399/739490745427/5.m3u8
松视1台,http://suo.im/c4FP2
松视1台,p3p://173.208.176.178:31809/5fe445280008a40682a0367c343436bb
松视1台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/476365.m3u8
松视1台,http://104.194.10.200:25461/live/271871095922/006886711863/5.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=
松视1台,http://z3.ubtvfans.com/live/rx3/402/733039a795cd903623dd9c87385ee32b/index.m3u8

松视2台,http://276868.cloud/e7e5fccaa92d69a7553c3890c3519a14/a342fa9e5e11747f731a4832e31e0e7d/79624e0ad988a352ad8d5a819dd37a46/index.m3u8
松视2台,http://18.svi-studio.com:80/live/652484888807/195449585962/6.m3u8
松视2台,http://18.svi-studio.com:80/live/875994180836/930699661147/6.m3u8
松视2台,http://18.svi-studio.com:80/live/346356153167/782875691212/6.m3u8
松视2台,http://18.svi-studio.com:80/live/917952932058/953281067271/6.m3u8
松视2台,http://18.svi-studio.com:80/live/426804892399/739490745427/6.m3u8
松视2台,p3p://173.208.176.178:31809/60232b5f00007bc37850649979e379df
松视2台,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/639653.m3u8
松视2台,http://104.194.10.200:25461/live/271871095922/006886711863/6.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=

松视3台,http://18.svi-studio.com:80/live/652484888807/195449585962/20205.m3u8
松视3台,http://18.svi-studio.com:80/live/875994180836/930699661147/20205.m3u8
松视3台,http://18.svi-studio.com:80/live/346356153167/782875691212/20205.m3u8
松视3台,http://18.svi-studio.com:80/live/426804892399/739490745427/20205.m3u8
松视3台,http://18.svi-studio.com:80/live/917952932058/953281067271/20205.m3u8
松视3台,http://18.svi-studio.com:8880/live/271871095922/006886711863/20205.m3u8
松视3台,p3p://173.208.176.178:31809/6109e9590001f40bfd9b661109395f3b
松视3台,http://z3.ubtvfans.com/live/rx3/404/92fba28e982d7b13b6b47247c5a40674/index.m3u8
松视3台,http://suo.im/9wiS2
松视3台,http://104.194.10.200:25461/live/271871095922/006886711863/20205.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=

松视4台,https://kdy-oss.oss01-cn-lasa-xzns-d01-a.cloud.ningsuan.com.cn/kodbox/202410/06/akw6b-3pn5Rcw?response-content-disposition=inline%3Bfilename%3DS4-3.mp4&response-content-type=video%2Fmp4&OSSAccessKeyId=FfDrPsUMS4h3sKnf&Expires=1732118399&Signature=P6mI8Nv7Gvdvg0UaQ9bIvFKk3Rs%3D
松视4台,http://18.svi-studio.com:8880/get.php?username=652484888807&password=195449585962&type=m3u&output=m3u8
松视4台,https://u.kstore.space/download/8504/%E8%8B%B9%E6%9E%9C%E9%A6%992.mp4
松视4台,https://www.5ycc.cn/view.php/4151ed5519480243da312ee68cf45312.mp4

松视5台,http://276868.cloud/7584899480166fb05d86da7b61a0940e/a342fa9e5e11747f731a4832e31e0e7d/57c97d9bd28f87f9ee79891f2496dc99/index.m3u8

彩虹e台,http://276868.cloud/304eb151795fdb6f46fb2e7131899aa4/a342fa9e5e11747f731a4832e31e0e7d/8f9bc18b7f6567180e5f3444818aaa9c/index.m3u8
彩虹e台,p3p://173.208.176.178:31809/6062716c0008efc86f76f0c44d55329f

彩虹K台,p3p://173.208.176.178:31809/63fd56ec000b5f0d26d4fe1b07963493
彩虹K台,http://jaz9.my.to:2390/udp/224.1.4.175:11111

彩虹电影台,p3p://173.208.176.178:31809/6253066c00049259f74b05224cf375e6
彩虹电影台,http://ali.hlspull.yximgs.com/live/27f6f1e4159f92cc3813793adccb3bcb.flv
彩虹电影台,http://suo.im/9sOLD

彩虹频道,http://276868.cloud/57b7c041286055ef3facb09ea2849486/a342fa9e5e11747f731a4832e31e0e7d/ec5cb3771e4e2d2e1ff1c96838e0c64c/index.m3u8
彩虹频道,p3p://173.208.176.178:31809/63fd589300099ff426db7203798a21f9

彩虹热门新视野,http://276868.cloud/b2701e380a11e98984413a1aca87120a/a342fa9e5e11747f731a4832e31e0e7d/45b8831b294a1b4dbb21b91a8e5ad89a/index.m3u8

潘朵拉玩美,http://276868.cloud/beec6a5b65accd0d5d126c4e464d26c1/a342fa9e5e11747f731a4832e31e0e7d/b74d1eed9ea3ca8d661091ffa5f1fd54/index.m3u8
潘朵拉玩美,http://18.svi-studio.com:80/live/652484888807/195449585962/3.m3u8
潘朵拉玩美,http://18.svi-studio.com:80/live/917952932058/953281067271/3.m3u8
潘朵拉玩美,http://18.svi-studio.com:80/live/346356153167/782875691212/3.m3u8
潘朵拉玩美,http://18.svi-studio.com:80/live/875994180836/930699661147/3.m3u8
潘朵拉玩美,http://18.svi-studio.com:80/live/426804892399/739490745427/3.m3u8
潘朵拉玩美,http://18.svi-studio.com:8880/live/624372101145/418430465490/3.m3u8
潘朵拉玩美,http://107.167.16.226:8880/live/wLmJEuYw32hs/75X2WAcaeJexPFiZ/639649.m3u8
潘朵拉玩美,p3p://173.208.176.178:31809/5fe4450c000c918b829fca233c845311
潘朵拉玩美,http://suo.im/6TuSG
潘朵拉玩美,http://104.194.10.200:25461/live/271871095922/006886711863/3.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=

潘多拉粉红,http://276868.cloud/e04a56142536506819b1e775b9456d0a/a342fa9e5e11747f731a4832e31e0e7d/d1512c1d1dda0ddd27bdf6b8ac9bc835/index.m3u8

香蕉臺,http://276868.cloud/ecc014a79434755f42850add23f2cafb/a342fa9e5e11747f731a4832e31e0e7d/dd18c7572f6fa68799ed27685fafa1da/index.m3u8
香蕉臺,http://18.svi-studio.com:80/live/652484888807/195449585962/4.m3u8
香蕉臺,http://18.svi-studio.com:80/live/917952932058/953281067271/4.m3u8
香蕉臺,http://18.svi-studio.com:80/live/875994180836/930699661147/4.m3u8
香蕉臺,http://18.svi-studio.com:80/live/346356153167/782875691212/4.m3u8
香蕉臺,http://18.svi-studio.com:80/live/426804892399/739490745427/4.m3u8
香蕉臺,http://18.svi-studio.com:8880/live/624372101145/418430465490/4.m3u8
香蕉臺,http://125.227.210.55:8159/VideoInput/play.ts
香蕉臺,p3p://173.208.176.178:31809/60626a760005067e6f5bbecb5816771e
香蕉臺,http://104.194.10.200:25461/live/271871095922/006886711863/4.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=
香蕉臺,http://s.mrw.so/94E7W

驚艷臺,http://18.svi-studio.com:80/live/652484888807/195449585962/1.m3u8
驚艷臺,http://18.svi-studio.com:8880/live/908957700097/132663288386/1.m3u8
驚艷臺,http://18.svi-studio.com:80/live/346356153167/782875691212/1.m3u8
驚艷臺,http://18.svi-studio.com:80/live/875994180836/930699661147/1.m3u8
驚艷臺,http://18.svi-studio.com:80/live/426804892399/739490745427/1.m3u8
驚艷臺,p3p://173.208.176.178:31809/60626a1b00010e3e6f5a5a4f018e5ebe
驚艷臺,http://125.227.210.55:8156/VideoInput/play.ts
驚艷臺,http://104.194.10.200:25461/live/271871095922/006886711863/1.m3u8?token=SRVZVERZGl8UCA4FVw9TAlQFBQRQWgAEDlIGDlYBAQcCAAIEDwMIAA4SGhZFTRdVVl1rWwYaXAMbE0FLBERmClYVCxcABhpJFERfWVMbXwAbEkRbBhpcEAYDAw5RFBVBV09FUEVfWQlpVFNCX1oAEg1eQV4OFERdWW5QXQxXVwcQDRMFFR0aDEVAFA5YTAlcGxJWWxZKB0ZSEw4aUwQOUxAbE1ZYRFYRREkUDhRsNhIbElFKFl0IQV5eWhpbFFRQRw8TGRVYSzpEVUVARFwEXVJCFghACEQeFVxVQD5VVg1cUlJBXl5WFhQKFA0PAFwSGxJZXQxREl1FbkRRBRQDQQAEAQUDE0U=
驚艷臺,http://suo.im/8odLv

奧視2,http://125.227.210.55:55643/VideoInput/play.ts
奧視3,http://125.227.210.55:8917/VideoInput/play.ts
Mainu臺,http://125.227.210.55:51359/VideoInput/play.ts
Sex Girl,http://125.227.210.55:62698/VideoInput/play.ts
LOOK,p3p://173.208.176.178:31809/606271190002a1266f75aaee0463186a

HAPPY,p3p://173.208.176.178:31809/616b79be000a35b17ab2f7b84c325eeb
HAPPY,http://jaz9.my.to:2390/udp/224.1.4.186:11111

极限电影台,http://jaz9.my.to:2390/udp/230.1.2.152:11111
极限电影台,p3p://173.208.176.178:31809/6109e9bb0005fd87fd9ce5ea2c1f18d3

热火频道,http://276868.cloud/b9b937de9424c9c8aa5abba4956cb971/a342fa9e5e11747f731a4832e31e0e7d/795b980acf178c28b340245c217ed848/index.m3u8

玩家频道,http://276868.cloud/29215331c8ac206fd4c2c27b1572324a/a342fa9e5e11747f731a4832e31e0e7d/a3f6b7e3e4f163b355c280020920de17/index.m3u8

松视1欧美版,http://live.redtraffic.xyz:80/interracial.m3u8
松视2欧美版,http://live.redtraffic.xyz:80/bigtits.m3u8
松视3欧美版,http://live.redtraffic.xyz:80/bigdick.m3u8
香蕉台欧美版,http://live.redtraffic.xyz:80/milf.m3u8
