中国🇨🇳湾湾,#genre#
靖天電影台,http://192.168.31.2:5088/litv/4gtv-4gtv061
靖天歡樂台,http://192.168.31.2:5088/litv/4gtv-4gtv054
龍華偶像台,http://192.168.31.2:5088/litv/litv-longturn12
龍華卡通台,http://192.168.31.2:5088/litv/litv-longturn01
龍華戲劇台,http://192.168.31.2:5088/litv/litv-longturn18
龍華日韓台,http://192.168.31.2:5088/litv/litv-longturn11
龍華經典台,http://192.168.31.2:5088/litv/litv-longturn21
龍華電影台,http://192.168.31.2:5088/litv/litv-longturn03
民視,http://192.168.31.2:5088/litv/4gtv-4gtv002
民視第一台,http://192.168.31.2:5088/litv/4gtv-4gtv003
民視新聞台,http://192.168.31.2:5088/litv/litv-ftv13
民視台灣台,http://192.168.31.2:5088/litv/4gtv-4gtv001
民視影劇台,http://192.168.31.2:5088/litv/litv-ftv09
民視旅遊台,http://192.168.31.2:5088/litv/litv-ftv07
民視綜藝台,http://192.168.31.2:5088/litv/4gtv-4gtv004
中視,http://192.168.31.2:5088/litv/4gtv-4gtv040
中視新聞台,http://192.168.31.2:5088/litv/4gtv-4gtv074
中視經典台,http://192.168.31.2:5088/litv/4gtv-4gtv080
中視菁采台,http://192.168.31.2:5088/litv/4gtv-4gtv064
中天新聞台,http://192.168.31.2:5088/litv/4gtv-4gtv009
中天亞洲台,http://192.168.31.2:5088/litv/4gtv-4gtv109
華視,http://192.168.31.2:5088/litv/4gtv-4gtv041
華視新聞,http://192.168.31.2:5088/litv/4gtv-4gtv052
靖天綜合台,http://192.168.31.2:5088/litv/4gtv-4gtv046
靖天國際台,http://192.168.31.2:5088/litv/4gtv-4gtv063
靖天戲劇台,http://192.168.31.2:5088/litv/4gtv-4gtv058
靖天日本台,http://192.168.31.2:5088/litv/4gtv-4gtv047
靖天映畫台,http://192.168.31.2:5088/litv/4gtv-4gtv055
靖天卡通台,http://192.168.31.2:5088/litv/4gtv-4gtv044
靖天育樂台,http://192.168.31.2:5088/litv/4gtv-4gtv062
靖天資訊台,http://192.168.31.2:5088/litv/4gtv-4gtv065
靖洋戲劇台,http://192.168.31.2:5088/litv/4gtv-4gtv045
靖洋卡通 Nice Bingo,http://192.168.31.2:5088/litv/4gtv-4gtv057
寰宇新聞台,http://192.168.31.2:5088/litv/litv-longturn14
寰宇新聞台灣台,http://192.168.31.2:5088/litv/litv-longturn15
寰宇財經台,http://192.168.31.2:5088/litv/litv-longturn23
TVBS,http://192.168.31.2:5088/litv/4gtv-4gtv073
TVBS 新聞台,http://192.168.31.2:5088/litv/4gtv-4gtv072
TVBS 綜藝台,http://192.168.31.2:5088/4gtv/284
TVBS 歡樂台,http://192.168.31.2:5088/litv/4gtv-4gtv068
TVBS 精采台,http://192.168.31.2:5088/litv/4gtv-4gtv067
TVBS 台劇台,http://192.168.31.2:5088/4gtv/285
八大精彩台,http://192.168.31.2:5088/litv/4gtv-4gtv034
八大綜藝台,http://192.168.31.2:5088/litv/4gtv-4gtv039
三立綜合台,http://192.168.31.2:5088/4gtv/169
三立 iNEWS,http://192.168.31.2:5088/4gtv/229
台視,http://192.168.31.2:5088/litv/4gtv-4gtv066
台視新聞台,http://192.168.31.2:5088/litv/4gtv-4gtv051
台視財經台,http://192.168.31.2:5088/litv/4gtv-4gtv056
博斯運動一台,http://192.168.31.2:5088/litv/litv-longturn07
博斯運動二台,http://192.168.31.2:5088/litv/litv-longturn08
博斯無限台,http://192.168.31.2:5088/litv/litv-longturn10
博斯無限二台,http://192.168.31.2:5088/litv/litv-longturn13
博斯網球台,http://192.168.31.2:5088/litv/litv-longturn09
博斯高球台,http://192.168.31.2:5088/litv/litv-longturn05
博斯高球二台,http://192.168.31.2:5088/litv/litv-longturn06
博斯魅力台,http://192.168.31.2:5088/litv/litv-longturn04
ELTA 娛樂台,http://192.168.31.2:5088/litv/4gtv-4gtv070
ELTA 生活旅遊,http://192.168.31.2:5088/4gtv/237
ELTV 生活英語,http://192.168.31.2:5088/litv/litv-longturn20
東森新聞,http://192.168.31.2:5088/litv/4gtv-4gtv152
東森財經新聞,http://192.168.31.2:5088/litv/4gtv-4gtv153
非凡新聞台,http://192.168.31.2:5088/litv/4gtv-4gtv010
非凡商業台,http://192.168.31.2:5088/litv/4gtv-4gtv048
鏡電視新聞台,http://192.168.31.2:5088/litv/4gtv-4gtv075
CNBC Asia 財經台,http://192.168.31.2:5088/4gtv/235
亞洲旅遊台,http://192.168.31.2:5088/litv/litv-longturn17
GINX Esports TV,http://192.168.31.2:5088/litv/4gtv-4gtv053
TechStorm,http://192.168.31.2:5088/4gtv/181
時尚運動X,http://192.168.31.2:5088/4gtv/277
智林體育台,http://192.168.31.2:5088/litv/4gtv-4gtv101
TraceSports,http://192.168.31.2:5088/litv/4gtv-4gtv077
影迷數位紀實台,http://192.168.31.2:5088/4gtv/212
影迷數位電影台,http://192.168.31.2:5088/litv/4gtv-4gtv011
AMC 電影台,http://192.168.31.2:5088/litv/4gtv-4gtv017
CatchPlay 電影台,http://192.168.31.2:5088/litv/4gtv-4gtv076
My Cinema Europe HD 我的歐洲電影,http://192.168.31.2:5088/4gtv/176
公視戲劇台,http://192.168.31.2:5088/litv/4gtv-4gtv042
采昌影劇台,http://192.168.31.2:5088/litv/4gtv-4gtv049
台灣戲劇台,http://192.168.31.2:5088/litv/litv-longturn22
戲劇免費看 1台,http://192.168.31.2:5088/4gtv/270
戲劇免費看 2台,http://192.168.31.2:5088/4gtv/244
經典電影台,http://192.168.31.2:5088/4gtv/201
電影免費看 2台,http://192.168.31.2:5088/4gtv/245
電影原聲台 CMusic,http://192.168.31.2:5088/4gtv/218
花系列 經典劇場,http://192.168.31.2:5088/4gtv/279
CinemaWorld,http://192.168.31.2:5088/4gtv/225
HITS 頻道,http://192.168.31.2:5088/4gtv/186
Rock Action,http://192.168.31.2:5088/4gtv/180
Rock Entertainment,http://192.168.31.2:5088/4gtv/275
金光布袋戲,http://192.168.31.2:5088/4gtv/236
霹靂布袋戲,http://192.168.31.2:5088/4gtv/301
DreamWorks 夢工廠動畫,http://192.168.31.2:5088/4gtv/282
Nickelodeon,http://192.168.31.2:5088/4gtv/185
